Field Description,UPP INITPOST Name,Model Output Name,Dimensions,Notes,,,,,,,,,,,,,,,,,,,,,,,
time averaged toa clear sky outgoing sw,aswtoac,csusftoa,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged surface clear sky incoming lw,alwinc,csdlf,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged surface clear sky incoming sw,aswinc,csdsf,2d,,,,,,,,,,,,,,,,,,,,,,,,
storm runoff,SSROFF,ssrun_acc,2d,,,,,,,,,,,,,,,,,,,,,,,,
direct soil evaporation,avgedir,evbs_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
canopy water evaporation,avgecan,evcw_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
averaged precipitation advected heat flux,paha,pah_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
instantaneous precipitation advected heat flux,pahi,pahi,2d,,,,,,,,,,,,,,,,,,,,,,,,
plant transpiration,avgetrans,trans_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
snow sublimation,avgesnow,sbsno_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
total soil moisture,smstot,soilm,2d,,,,,,,,,,,,,,,,,,,,,,,,
snow phase change heat flux,snopcx,snohf,2d,,,,,,,,,,,,,,,,,,,,,,,,
precipitable water,pwat,pwat,2d,,,,,,,,,,,,,,,,,,,,,,,,
,aalk1j,aalk1j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aalk2j,aalk2j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,abnz1j,abnz1j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,abnz2j,abnz2j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,abnz3j,abnz3j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,acaj,acaj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,acet,acet,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,acli,acli,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aclj,aclj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aclk,aclk,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,acors,acors,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,acro_primary,acro_primary,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,acrolein,acrolein,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aeci,aeci,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aecj,aecj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
